0000031C, BrakePercent, 9
0000031C, brakePressure, 10
0000031C, SteeringAngle, -102
0000031C, BrakeWhileThrottle, 0
0000031D, AMS_PackVoltage, 525.58
00000321, VCU_wheelSpeed_RL, 0.0
00000321, VCU_wheelSpeed_RR, 0.0
00000323, RLSpeedKPH, 0.0
00000323, RRSpeedKPH, 0.0
00000323, FLSpeedKPH, 0.0
00000323, FRSpeedKPH, 0.0
00000325, TCTorqueMax, 3.392
00000325, TCLeftSlip, -0.999
00000325, TCRightSlip, -0.999
00000325, TCTorqueAdjustment, 0.0
0000033E, StateBatteryChargeHV, 92.80000000000001
0000033E, StateBatteryHealthHV, 0.0
0000033E, StateBatteryPowerHV, 331.90000000000003
0000033E, TempCellMax, 156.0
0000033E, TempCellMin, 55.0
0000033E, StateBMS, Wait_System_Up
0000033E, VoltageCellMuxSelect, 17
0000033E, VoltageCell52, 3.8149
0000033E, VoltageCell53, 3.8153
0000033E, VoltageCell54, 3.8155
00000340, AdjustedVoltageCellMuxSelect, 17
00000340, AdjustedVoltageCell52, 3.8149
00000340, AdjustedVoltageCell53, 3.8152000000000004
00000340, AdjustedVoltageCell54, 3.8154000000000003
00000341, TempChannelMuxSelect, 17
00000341, TempChannel52, 0.0
00000341, TempChannel53, 0.0
00000341, TempChannel54, 0.0
00000344, VCU_wheelSpeed_RL, 0.0
00000344, VCU_wheelSpeed_RR, 0.0
00000346, RLSpeedKPH, 0.0
00000346, RRSpeedKPH, 0.0
00000346, FLSpeedKPH, 0.0
00000346, FRSpeedKPH, 0.0
00000348, TCTorqueMax, 3.392
00000348, TCLeftSlip, -0.999
00000348, TCRightSlip, -0.999
00000348, TCTorqueAdjustment, 0.0
0000034E, ThrottlePercent, 0
0000034E, BrakePercent, 9
0000034E, brakePressure, 10
0000034E, SteeringAngle, -102
0000034E, BrakeWhileThrottle, 0
00000367, VCU_wheelSpeed_RL, 0.0
00000367, VCU_wheelSpeed_RR, 0.0
00000369, RLSpeedKPH, 0.0
00000369, RRSpeedKPH, 0.0
00000369, FLSpeedKPH, 0.0
00000369, FRSpeedKPH, 0.0
00000369, VoltageCellMuxSelect, 18
00000369, VoltageCell55, 3.8161
00000369, VoltageCell56, 3.8177000000000003
00000369, VoltageCell57, 3.7919
0000036B, AdjustedVoltageCellMuxSelect, 18
0000036B, AdjustedVoltageCell55, 3.8161
0000036B, AdjustedVoltageCell56, 3.8176
0000036B, AdjustedVoltageCell57, 3.7906
0000036B, TCTorqueMax, 3.392
0000036B, TCLeftSlip, -0.999
0000036B, TCRightSlip, -0.999
